type,title,release_year,date_added
Movie,"The Natural",1984,"2020-01-01 00:00:00"
Movie,"Esperando la carroza",1985,"2021-08-05 00:00:00"
Movie,"Sayed the Servant",1985,"2020-05-21 00:00:00"
Movie,"Disciples Of The 36th Chamber",1985,"2018-08-16 00:00:00"
Movie,"Esperando La Carroza",1985,"2018-07-15 00:00:00"
Movie,Medium,1985,"2019-10-01 00:00:00"
Movie,"Ram Teri Ganga Maili",1985,"2019-12-31 00:00:00"
Movie,"Rocky IV",1985,"2019-08-01 00:00:00"
Movie,"The Young Vagabond",1985,"2018-08-16 00:00:00"
Movie,"Trikal (Past, Present, Future)",1985,"2019-12-31 00:00:00"
Movie,Labyrinth,1986,"2021-09-01 00:00:00"
Movie,"The Golden Child",1986,"2021-09-01 00:00:00"
Movie,"Ferris Bueller's Day Off",1986,"2021-08-01 00:00:00"
Movie,"The Karate Kid Part II",1986,"2021-07-01 00:00:00"
Movie,"Pyar Ke Do Pal",1986,"2018-01-15 00:00:00"
Movie,Jaal,1986,"2017-12-08 00:00:00"
Movie,"Adam: His Song Continues",1986,"2011-10-01 00:00:00"
Movie,"Hard Lessons",1986,"2011-10-01 00:00:00"
Movie,"An American Tail",1986,"2018-04-01 00:00:00"
Movie,"Martial Arts of Shaolin",1986,"2018-08-16 00:00:00"
Movie,Platoon,1986,"2020-11-01 00:00:00"
Movie,"Jaws: The Revenge",1987,"2021-09-16 00:00:00"
Movie,"Eddie Murphy: Raw",1987,"2021-01-01 00:00:00"
Movie,"Muqaddar ka Faisla",1987,"2020-04-01 00:00:00"
Movie,"Sam Kinison: Breaking the Rules",1987,"2018-12-31 00:00:00"
Movie,"Strange Voices",1987,"2011-10-01 00:00:00"
Movie,"Hamburger Hill",1987,"2019-11-23 00:00:00"
Movie,"La Bamba",1987,"2020-01-01 00:00:00"
Movie,"Mad Ron's Prevues from Hell",1987,"2010-11-01 00:00:00"
Movie,"Midnight Run",1988,"2021-07-01 00:00:00"
Movie,"Mobile Suit Gundam: Char's Counterattack",1988,"2021-06-19 00:00:00"
Movie,"Rain Man",1988,"2021-03-01 00:00:00"
Movie,"Mystic Pizza",1988,"2021-01-01 00:00:00"
Movie,"Aakhri Adaalat",1988,"2017-09-01 00:00:00"
Movie,"A Stoning in Fulham County",1988,"2011-10-01 00:00:00"
Movie,"Quiet Victory: The Charlie Wedemeyer Story",1988,"2011-10-01 00:00:00"
Movie,"Too Young the Hero",1988,"2011-10-01 00:00:00"
Movie,"Child's Play",1988,"2019-12-31 00:00:00"
Movie,"Killer Klowns from Outer Space",1988,"2020-04-01 00:00:00"
Movie,"Maza Pati Karodpati",1988,"2018-01-01 00:00:00"
Movie,"Painted Faces",1988,"2018-08-16 00:00:00"
Movie,"Pee-wee's Playhouse: Christmas Special",1988,"2014-12-18 00:00:00"
Movie,"School Daze",1988,"2020-11-01 00:00:00"
Movie,"The Naked Gun: From the Files of Police Squad!",1988,"2021-01-01 00:00:00"
Movie,"Thelonious Monk: Straight, No Chaser",1988,"2019-11-01 00:00:00"
Movie,"Do the Right Thing",1989,"2021-09-01 00:00:00"
Movie,"The Karate Kid Part III",1989,"2021-07-01 00:00:00"
Movie,"Best of the Best",1989,"2021-05-01 00:00:00"
Movie,"Little Monsters",1989,"2020-11-01 00:00:00"
Movie,"Alexandria: Again and Forever",1989,"2020-06-18 00:00:00"
Movie,"Bill Hicks: Sane Man",1989,"2018-12-31 00:00:00"
Movie,"Parrot Sketch Not Included: Twenty Years of Monty Python",1989,"2018-10-02 00:00:00"
Movie,Mujrim,1989,"2017-09-01 00:00:00"
Movie,"The Ryan White Story",1989,"2011-10-01 00:00:00"
Movie,"300 Miles to Heaven",1989,"2019-10-01 00:00:00"
Movie,"All Dogs Go to Heaven",1989,"2020-06-01 00:00:00"
Movie,Dad,1989,"2018-04-01 00:00:00"
Movie,"Doubles Cause Troubles",1989,"2018-08-01 00:00:00"
Movie,"Indiana Jones and the Last Crusade",1989,"2019-01-01 00:00:00"
Movie,"Maine Pyar Kiya",1989,"2018-01-01 00:00:00"
